"model_version","items_retained","model","chi_square","df","p","CFI","TLI","RMSEA","RMSEA_90_CI","SRMR","AIC","BIC"
"7-item","1–7","One-factor",150.716,14,0,0.775,0.663,0.14,"0.12–0.161",0.074,9405.8,9494.846
"7-item","1–7","Two-factor",157.88,13,0,0.774,0.634,0.146,"0.125–0.167",0.074,9407.78,9501.066
"6-item","1,2,3,4,6,7","One-factor",112.649,9,0,0.827,0.712,0.148,"0.123–0.173",0.067,8325.307,8401.632
"6-item","1,2,3,4,6,7","Two-factor",123.251,8,0,0.826,0.673,0.157,"0.132–0.184",0.066,8327.274,8407.839
"5-item","1,2,3,4,7","One-factor",99.224,5,0,0.834,0.667,0.19,"0.158–0.224",0.073,6980.764,7044.368
"5-item","1,2,3,4,7","Two-factor",114.421,4,0,0.832,0.581,0.214,"0.178–0.252",0.072,6982.494,7050.338
"4-item","1,2,3,4","One-factor",2.657,2,0.265,0.998,0.995,0.026,"0–0.097",0.013,5503.538,5554.421
"4-item","1,2,3,4","Two-factor",1.979,1,0.159,0.998,0.986,0.043,"0–0.135",0.01,5504.744,5559.867
